Category,Name,Description,Repo / Guide,
Deep Learning,External Attention,A bunch of attention mechanisms in Pytorch,https://github.com/xmu-xiaoma666/External-Attention-pytorch,
Visualization,Pretty Bar Graph Tutorial,Guide on creating pretty bar charts,https://towardsdatascience.com/tutorial-on-building-a-professional-bar-graph-in-plotly-python-ba8e63fda048,
Machine Learning,Randomized Search CV,Scikit-Learn better than Grid Search CV,Sci-kit Learn,
Visualization,Autoplotter,Exploratory Data Analysis (EDA) tool,pip install autoplotter,
Visualization,Observable Summary Table,Get summaries of a dataset,https://observablehq.com/product,
Data Processing,Label Studio,Create labels for a supervised learning task,https://github.com/heartexlabs/label-studio,
Data Processing,Detectron 2,Parse any document,https://towardsdatascience.com/auto-parse-and-understand-any-document-5d72e81b0be9,
Hyperparameter Tuning,Optuna,Efficient hyperparameter tuning for Keras and PyTorch,https://github.com/optuna/optuna,
Data Processing,Pandas Profiling,Exploratory Data Analysis (EDA) tool,https://towardsdatascience.com/how-to-do-exploratory-data-analysis-with-one-line-of-code-1364e16a102e,
Python Efficiency,Swifter,"Speed up ""Apply"" function for Pandas",https://towardsdatascience.com/10x-times-faster-pandas-apply-in-a-single-line-change-of-code-c42cb5e82f6d,
Data Processing,Polars,Fast DataFrame library for Python â€” significantly faster than Pandas for large datasets. Compatible with Pandas API.,https://github.com/pola-rs/polars,
LLM Orchestration,LangChain,Framework for building LLM applications with retrieval chains and agents,https://github.com/langchain-ai/langchain,
LLM Orchestration,LlamaIndex,Data framework for connecting LLMs to documents and structured data,https://github.com/run-llama/llama_index,
Visualization,Streamlit,Converts Python scripts into interactive web apps for rapid DSR prototype deployment,https://streamlit.io/,
Visualization,Plotly,Interactive visualization library for publication-quality charts and dashboards,https://plotly.com/python/,
MLOps,MLflow,"Experiment tracking, model registry, and deployment for reproducible ML research",https://mlflow.org/,
MLOps,Weights & Biases (W&B),"Cloud experiment tracking with hyperparameter sweeps; integrates with PyTorch, Keras, and HuggingFace",https://wandb.ai/,
